Original Name,Marke,Branche,New Name
240229_Sounds_großes_Hörexperiment/Mobility/DB_WDB_Mobility-004.mp3,Db,Mobility,/12/6.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-043.mp3,Sil,Future,/12/7.mp3
240229_Sounds_großes_Hörexperiment/os/windows_10_OS-040.mp3,Windows,Os,/13/1.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Sportwagen_WDB_mobility-007.mp3,Sportwagen,Mobility,/13/2.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-090.mp3,Apple,Consumer,/13/3.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-057.mp3,Sil,Future,/13/4.mp3
240229_Sounds_großes_Hörexperiment/health/PhilipsTrilogy100Menus_health-001.mp3,Philipstrilogy100menus,Health,/13/5.mp3
240229_Sounds_großes_Hörexperiment/home/Bose_SmartSpeaker_home-005.mp3,Bose,Home,/13/6.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-085.mp3,Sil,Future,/13/7.mp3
240229_Sounds_großes_Hörexperiment/os/windows_10_OS-032.mp3,Windows,Os,/14/1.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-011.mp3,Steam,Apps,/14/2.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-021.mp3,Sil,Future,/14/3.mp3
240229_Sounds_großes_Hörexperiment/health/medicaldevices_health-013.mp3,Medicaldevices,Health,/14/4.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-005.mp3,Steam,Apps,/14/5.mp3
240229_Sounds_großes_Hörexperiment/Mobility/DB_WDB_Mobility-006.mp3,Db,Mobility,/14/6.mp3
240229_Sounds_großes_Hörexperiment/Mobility/byton_mobility-007.mp3,Byton,Mobility,/14/7.mp3
240229_Sounds_großes_Hörexperiment/Mobility/tesla_mobility-012.mp3,Tesla,Mobility,/15/1.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Mercedes_Mobility-020.mp3,Mercedes,Mobility,/15/2.mp3
